Time,Temperature(℃),Humidity(%RH)
2020-10-01 03:27:04,19.40,68.64
2020-10-01 03:17:04,19.38,68.61
2020-10-01 03:07:04,19.37,68.64
2020-10-01 02:57:04,19.34,68.72
2020-10-01 02:47:04,19.32,68.80
2020-10-01 02:37:04,19.29,68.88
2020-10-01 02:27:04,19.27,68.96
2020-10-01 02:17:04,19.24,69.04
2020-10-01 02:07:04,19.22,69.12
2020-10-01 01:57:04,19.19,69.20
2020-10-01 01:47:04,19.17,69.28
2020-10-01 01:37:04,19.15,69.35
2020-10-01 01:27:04,19.13,69.40
2020-10-01 01:17:04,19.10,69.37
2020-10-01 01:07:04,19.08,69.35
2020-10-01 00:57:04,19.05,69.32
2020-10-01 00:47:04,19.03,69.30
2020-10-01 00:37:04,19.00,69.27
2020-10-01 00:27:04,18.98,69.25
2020-10-01 00:17:04,18.95,69.22
2020-10-01 00:07:04,18.93,69.20
2020-09-30 23:57:04,18.91,69.18
2020-09-30 23:47:04,18.89,69.08
2020-09-30 23:37:04,18.84,69.02
2020-09-30 23:27:04,18.80,68.96
2020-09-30 23:17:04,18.76,68.91
2020-09-30 23:07:04,18.71,68.85
2020-09-30 22:57:04,18.67,68.79
2020-09-30 22:47:04,18.63,68.74
2020-09-30 22:37:04,18.58,68.68
2020-09-30 22:27:04,18.54,68.62
2020-09-30 22:17:04,18.50,68.57
2020-09-30 22:07:04,18.16,68.56
2020-09-30 21:57:04,18.10,69.25
2020-09-30 21:47:04,18.05,69.94
2020-09-30 21:37:04,18.00,70.63
2020-09-30 21:27:04,17.95,71.32
2020-09-30 21:17:04,17.90,72.00
2020-09-30 21:07:04,17.85,72.69
2020-09-30 20:57:04,17.80,73.38
2020-09-30 20:47:04,17.75,74.07
2020-09-30 20:37:04,17.70,74.75
2020-09-30 20:27:04,17.77,74.10
2020-09-30 20:17:04,17.75,74.24
2020-09-30 20:07:04,17.73,74.38
2020-09-30 19:57:04,17.71,74.52
2020-09-30 19:47:04,17.69,74.66
2020-09-30 19:37:04,17.67,74.80
2020-09-30 19:27:04,17.65,74.94
2020-09-30 19:17:04,17.63,75.08
2020-09-30 19:07:04,17.61,75.22
2020-09-30 18:57:04,17.60,75.36
2020-09-30 18:47:04,17.60,76.89
2020-09-30 18:37:04,17.56,76.64
2020-09-30 18:27:04,17.52,76.40
2020-09-30 18:17:04,17.48,76.16
2020-09-30 18:07:04,17.44,75.92
2020-09-30 17:57:04,17.40,75.67
2020-09-30 17:47:04,17.36,75.43
2020-09-30 17:37:04,17.32,75.19
2020-09-30 17:27:04,17.28,74.95
2020-09-30 17:17:04,17.25,74.71
2020-09-30 17:07:04,17.29,75.39
2020-09-30 16:57:04,17.28,75.63
2020-09-30 16:47:04,17.27,75.86
2020-09-30 16:37:04,17.26,76.09
2020-09-30 16:27:04,17.25,76.32
2020-09-30 16:17:04,17.24,76.56
2020-09-30 16:07:04,17.23,76.79
2020-09-30 15:57:04,17.22,77.02
2020-09-30 15:47:04,17.21,77.25
2020-09-30 15:37:04,17.21,77.48
2020-09-30 15:27:04,17.20,77.48
2020-09-30 15:17:04,17.25,76.83
2020-09-30 15:07:04,17.30,76.18
2020-09-30 14:57:04,17.35,75.53
2020-09-30 14:47:04,17.40,74.88
2020-09-30 14:37:04,17.45,74.24
2020-09-30 14:27:04,17.50,73.59
2020-09-30 14:17:04,17.55,72.94
2020-09-30 14:07:04,17.60,72.29
2020-09-30 13:57:04,17.64,71.65
2020-09-30 13:47:04,17.57,70.93
2020-09-30 13:37:04,17.56,71.04
2020-09-30 13:27:04,17.56,71.14
2020-09-30 13:17:04,17.55,71.24
2020-09-30 13:07:04,17.55,71.35
2020-09-30 12:57:04,17.54,71.45
2020-09-30 12:47:04,17.54,71.55
2020-09-30 12:37:04,17.53,71.66
2020-09-30 12:27:04,17.53,71.76
2020-09-30 12:17:04,17.53,71.86
2020-09-30 12:07:04,17.51,72.01
2020-09-30 11:57:04,17.44,71.88
2020-09-30 11:47:04,17.38,71.76
2020-09-30 11:37:04,17.32,71.64
2020-09-30 11:27:04,17.25,71.51
2020-09-30 11:17:04,17.19,71.39
2020-09-30 11:07:04,17.13,71.27
2020-09-30 10:57:04,17.06,71.14
2020-09-30 10:47:04,17.00,71.02
2020-09-30 10:37:04,16.94,70.90
2020-09-30 10:27:04,16.99,70.99
2020-09-30 10:17:04,16.97,70.97
2020-09-30 10:07:04,16.96,70.95
2020-09-30 09:57:04,16.95,70.93
2020-09-30 09:47:04,16.94,70.91
2020-09-30 09:37:04,16.92,70.89
2020-09-30 09:27:04,16.91,70.87
2020-09-30 09:17:04,16.90,70.85
2020-09-30 09:07:04,16.89,70.83
2020-09-30 08:57:04,16.88,70.81
2020-09-30 08:47:04,16.87,70.88
2020-09-30 08:37:04,16.85,70.91
2020-09-30 08:27:04,16.83,70.93
2020-09-30 08:17:04,16.81,70.95
2020-09-30 08:07:04,16.79,70.98
2020-09-30 07:57:04,16.77,71.00
2020-09-30 07:47:04,16.75,71.02
2020-09-30 07:37:04,16.73,71.05
2020-09-30 07:27:04,16.71,71.07
2020-09-30 07:17:04,16.70,71.09
2020-09-30 07:07:04,16.73,71.37
2020-09-30 06:57:04,16.71,71.33
2020-09-30 06:47:04,16.70,71.30
2020-09-30 06:37:04,16.69,71.27
2020-09-30 06:27:04,16.67,71.24
2020-09-30 06:17:04,16.66,71.20
2020-09-30 06:07:04,16.65,71.17
2020-09-30 05:57:04,16.63,71.14
2020-09-30 05:47:04,16.62,71.11
2020-09-30 05:37:04,16.61,71.08
2020-09-30 05:27:04,16.60,70.66
2020-09-30 05:17:04,16.64,71.18
2020-09-30 05:07:04,16.67,71.70
2020-09-30 04:57:04,16.70,72.22
2020-09-30 04:47:04,16.73,72.74
2020-09-30 04:37:04,16.77,73.25
2020-09-30 04:27:04,16.80,73.77
2020-09-30 04:17:04,16.83,74.29
2020-09-30 04:07:04,16.86,74.81
2020-09-30 03:57:04,16.89,75.32
